 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Cripps H & Cripps T A,Cripps H & Cripps T A,1990,2,0,0,4.3,6.98,0,0,0,0,0
1990 - Cripps Hazel Jean & Cripps T A,Cripps Hazel Jean & Cripps T A,1990,1,0,0,0,0,25.68,0,0,0,0
1990 - Cronk T & Ranee B A,Cronk T & Ranee B A,1990,1,0,2.47,0,0,0,0,0,0,0
1990 - Cross C A & Seedhouse A J,Cross C A & Seedhouse A J,1990,1,0,0,0,0,25.13,0,0,0,0
1990 - Cross C & Seedhouse A J,Cross C & Seedhouse A J,1990,3,2.38,0,3.95,6.33,0,0,0,0,0
1990 - Croucher M & Wynn K,Croucher M & Wynn K,1990,1,2.97,0,0,0,0,0,0,0,0
1990 - Crow J & Doe D,Crow J & Doe D,1990,1,0,0,4.65,0,0,0,0,0,0
1990 - Cundick H & Hansford S,Cundick H & Hansford S,1990,1,3.43,0,0,0,0,0,0,0,0
1990 - Cundick Helen Victoria & Hansford Susan Michele,Cundick Helen Victoria & Hansford Susan Michele,1990,1,0,0,0,0,37.73,0,0,0,0
1990 - Cuthbert S C & McStravick J,Cuthbert S C & McStravick J,1990,1,0,0,0,0,37.18,0,0,0,0
1990 - Dains Ron,Dains Ron,1990,4,0,3.07,3.9,6.28,0,0,0,0,19.97
1990 - Dale S & Hynda K,Dale S & Hynda K,1990,1,0,3.68,0,0,0,0,0,0,0
1990 - Dale S & Hynds K M,Dale S & Hynds K M,1990,2,0,0,0,6.88,24.2,0,0,0,0
1990 - Dark Alison,Dark Alison,1990,3,2.8,3.8,4.68,0,0,0,0,0,0
1990 - Dark Simon & Phillips T,Dark Simon & Phillips T,1990,5,1.73,2.28,2.9,4.9,17.97,0,0,0,0
1990 - Daughters M J,Daughters M J,1990,1,2.2,0,0,0,0,0,0,0,0
1990 - Davidson-Houston P D & Smith A J,Davidson-Houston P D & Smith A J,1990,1,0,0,0,0,27.68,0,0,0,0
1990 - Davidson C,Davidson C,1990,1,2.43,0,0,0,0,0,0,0,0
1990 - Davidson C M & Mullins I,Davidson C M & Mullins I,1990,1,0,0,0,0,0,20,0,0,0
1990 - Davidson C & Mullins I,Davidson C & Mullins I,1990,3,0,3.13,4.13,6.65,0,0,0,0,0
1990 - Davies J & Toulmine M,Davies J & Toulmine M,1990,1,0,0,3.82,0,0,0,0,0,0
1990 - Davies M L & Gilby P S,Davies M L & Gilby P S,1990,5,2.32,2.87,3.77,5.95,23.27,0,0,0,0
1990 - Davies S M & Fielden Paul,Davies S M & Fielden Paul,1990,1,0,0,0,0,19.45,0,0,0,0
1990 - Davis J P & Stewart A D,Davis J P & Stewart A D,1990,1,2.25,0,0,0,0,0,0,0,0
1990 - Davis L & Young C,Davis L & Young C,1990,1,2.13,0,0,0,0,0,0,0,0
1990 - Davis M,Davis M,1990,1,1.97,0,0,0,0,0,0,0,0
1990 - Davis M 2 & Hyland D,Davis M 2 & Hyland D,1990,1,0,0,0,0,0,22.95,0,0,0
1990 - Davis S & Fielden Paul,Davis S & Fielden Paul,1990,4,1.85,2.55,3.1,4.85,0,0,0,0,0
1990 - Dawes S R & Sands C J,Dawes S R & Sands C J,1990,1,0,0,0,0,23.82,0,0,0,0
1990 - Dawes S & Sands C,Dawes S & Sands C,1990,3,2.22,3.07,3.82,0,0,0,0,0,0
1990 - Deane Wendy & Fredou Kate,Deane Wendy & Fredou Kate,1990,4,3.03,4.38,0,7.83,0,26.98,0,0,0
1990 - Deapaties A & Pretty F C,Deapaties A & Pretty F C,1990,1,0,0,0,7.33,0,0,0,0,0
1990 - Deavin A C & Harmer P D,Deavin A C & Harmer P D,1990,1,0,0,0,0,0,22.67,0,0,0
1990 - Despaties A & Pretty F C,Despaties A & Pretty F C,1990,3,2.58,3.72,4.3,0,0,0,0,0,0
1990 - Dobbin J G & Topham C,Dobbin J G & Topham C,1990,4,0,3.17,3.92,7.13,0,21.82,0,0,0
1990 - Dobbin J S & Dobbin Janice Loraine,Dobbin J S & Dobbin Janice Loraine,1990,1,0,0,0,0,35.15,0,0,0,0
1990 - Dobbin J & Dobbin J,Dobbin J & Dobbin J,1990,3,3.17,4.7,5.63,0,0,0,0,0,0
1990 - Dobin J G & Topham C,Dobin J G & Topham C,1990,1,2.27,0,0,0,0,0,0,0,0
1990 - Dook C D & Heaps B,Dook C D & Heaps B,1990,1,0,0,0,0,0,21,0,0,0
1990 - Dook C D & Tweedle,Dook C D & Tweedle,1990,4,2.8,3.63,4.13,6.5,0,0,0,0,0
1990 - Dooley M T,Dooley M T,1990,1,0,0,0,0,0,0,0,0,21.42
1990 - Dowling Terry & Tomlins Paul,Dowling Terry & Tomlins Paul,1990,3,1.93,2.68,3.37,0,0,0,0,0,0
