 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
2017 - Murad Joshua & Taylor Zach,Murad Joshua & Taylor Zach,2017,2,2.27,3.02,0,0,0,0,0,0,0
2017 - Murnaghan Liz,Murnaghan Liz,2017,3,0,3.77,4.77,0,0,0,0,0,24.73
2017 - Murphy Alice & Pickin Matthew,Murphy Alice & Pickin Matthew,2017,1,0,2.87,0,0,0,0,0,0,0
2017 - Murphy Thomas & Smith Adam,Murphy Thomas & Smith Adam,2017,3,0,3.63,0,6.73,0,21,0,0,0
2017 - Neave Rob,Neave Rob,2017,1,2.33,0,0,0,0,0,0,0,0
2017 - Neave Shuna,Neave Shuna,2017,1,2.18,0,0,0,0,0,0,0,0
2017 - New James & Wilson Katherine,New James & Wilson Katherine,2017,1,1.87,0,0,0,0,0,0,0,0
2017 - New Steve & Thackray Ian,New Steve & Thackray Ian,2017,5,2.38,3.13,4.2,6.57,0,0,0,0,0
2017 - North Nanette & Valle Lucia,North Nanette & Valle Lucia,2017,1,2.05,0,0,0,0,0,0,0,0
2017 - O'neill Joseph & Ryann Sean,O'neill Joseph & Ryann Sean,2017,3,3.7,3.47,0,6.53,0,0,0,0,0
2017 - O'neill Joseph & Rynn Sean,O'neill Joseph & Rynn Sean,2017,1,0,0,0,0,23.88,0,0,0,0
2017 - Oliver Geoff & Potts Andy,Oliver Geoff & Potts Andy,2017,1,2.75,0,0,0,0,0,0,0,0
2017 - Oliver Lucy,Oliver Lucy,2017,5,2.67,3.68,4.57,7.05,0,0,0,0,0
2017 - Palmer Daniel & Pearce Ryan,Palmer Daniel & Pearce Ryan,2017,6,1.82,2.37,3,4.63,18.28,0,0,0,0
2017 - Parkes Matthew,Parkes Matthew,2017,4,1.87,2.5,3.23,0,0,0,0,0,16.6
2017 - Parkin Rob & Spruce Mark,Parkin Rob & Spruce Mark,2017,3,2.52,3.37,4.32,0,0,0,0,0,0
2017 - Parritt Ally,Parritt Ally,2017,2,0,3.93,4.65,0,0,0,0,0,0
2017 - Parry Mary,Parry Mary,2017,2,0,0,4.45,0,0,0,0,0,22.77
2017 - Passmore Julia & Passmore Robert,Passmore Julia & Passmore Robert,2017,6,2.3,3.05,4.05,6.15,25.68,0,0,0,0
2017 - Paton Lizzy & Robinson Jess,Paton Lizzy & Robinson Jess,2017,2,0,0,4.37,0,0,23.63,0,0,0
2017 - Pay Wesley & Peters Daniel,Pay Wesley & Peters Daniel,2017,7,2.77,3.42,4.4,7.42,25.85,0,0,0,0
2017 - Payne Ben & Studdart Phil,Payne Ben & Studdart Phil,2017,7,2.47,3.02,3.75,5.85,21.62,0,0,0,0
2017 - Pearce Madeleine & Pearce Mark S,Pearce Madeleine & Pearce Mark S,2017,5,2.23,2.98,3.83,6.03,0,0,0,0,0
2017 - Pearce Mark S,Pearce Mark S,2017,1,0,0,0,0,0,0,0,0,19.03
2017 - Pearce Ray & Pearce Sam,Pearce Ray & Pearce Sam,2017,1,0,0,0,0,26.73,0,0,0,0
2017 - Pearse Philip & Pearse Timothy,Pearse Philip & Pearse Timothy,2017,6,1.8,2.43,3.17,4.83,19.63,0,0,0,0
2017 - Pearson James & Ryan Enda,Pearson James & Ryan Enda,2017,2,0,0,0,6.5,24.22,0,0,0,0
2017 - Perry Lucy,Perry Lucy,2017,2,3.13,0,5.72,0,0,0,0,0,0
2017 - Perry Tony,Perry Tony,2017,4,2.73,3.7,0,7.02,0,0,0,0,23.25
2017 - Peters Annette & Walker Thomas,Peters Annette & Walker Thomas,2017,2,2.72,3.08,0,0,0,0,0,0,0
2017 - Peters Freya & Russell Emma,Peters Freya & Russell Emma,2017,1,0,2.53,0,0,0,0,0,0,0
2017 - Pigott Mike,Pigott Mike,2017,1,0,3.25,0,0,0,0,0,0,0
2017 - Pitt Tim & Ward Andy,Pitt Tim & Ward Andy,2017,2,0,3.45,5.07,0,0,0,0,0,0
2017 - Pitts Georgina & White Joseph,Pitts Georgina & White Joseph,2017,2,2.45,3.02,0,0,0,0,0,0,0
2017 - Plewman Daniel,Plewman Daniel,2017,2,0,0,3.72,0,0,0,0,0,19.73
2017 - Plummer Paul,Plummer Paul,2017,2,2.28,3.08,0,0,0,0,0,0,0
2017 - Plummer Samuel,Plummer Samuel,2017,6,1.68,2.27,2.82,4.53,0,0,0,0,15.93
2017 - Polson Elizabeth,Polson Elizabeth,2017,1,0,0,4.37,0,0,0,0,0,0
2017 - Poole Robert,Poole Robert,2017,1,0,2.22,0,0,0,0,0,0,0
2017 - Pope Nick & White Phil,Pope Nick & White Phil,2017,1,2.27,0,0,0,0,0,0,0,0
2017 - Preston Michael,Preston Michael,2017,1,0,0,6.02,0,0,0,0,0,0
2017 - Preston Michael & Wilkins Patrick,Preston Michael & Wilkins Patrick,2017,3,3.08,4.33,0,7.75,0,0,0,0,0
2017 - Price Lisa & Rippington Samantha,Price Lisa & Rippington Samantha,2017,3,2.52,3.28,0,0,24.18,0,0,0,0
2017 - Purchas Mike & Unwin Nigel,Purchas Mike & Unwin Nigel,2017,2,0,2.72,3.57,0,0,0,0,0,0
2017 - Quigley Eamon,Quigley Eamon,2017,2,0,2.82,3.63,0,0,0,0,0,0
2017 - Quigley Eamon & Webb Mike,Quigley Eamon & Webb Mike,2017,1,0,0,0,5.57,0,0,0,0,0
2017 - Rasmussen Klaus,Rasmussen Klaus,2017,1,0,0,0,0,0,0,0,0,23.68
2017 - Reynolds Daniel,Reynolds Daniel,2017,6,2.2,2.88,3.6,5.68,0,0,0,0,19.25
2017 - Richter Sarah & Spanton Rachael,Richter Sarah & Spanton Rachael,2017,3,0,3.42,4.33,0,24.67,0,0,0,0
2017 - Robson Ian,Robson Ian,2017,1,2.48,0,0,0,0,0,0,0,0
2017 - Rogers Jerry,Rogers Jerry,2017,6,2.85,3.85,5.02,7.7,0,0,0,0,25.6
2017 - Rogers Mike & Wynn Susan,Rogers Mike & Wynn Susan,2017,1,0,0,0,0,0,0,23.95,0,0
2017 - Rooks Alan & Rooks William,Rooks Alan & Rooks William,2017,2,2.1,0,3.7,0,0,0,0,0,0
2017 - Rooks Rob & Rooks Simone,Rooks Rob & Rooks Simone,2017,1,2.48,0,0,0,0,0,0,0,0
2017 - Rosenfeld Joseph,Rosenfeld Joseph,2017,3,2.05,2.77,3.73,0,0,0,0,0,0
2017 - Rothery Peter,Rothery Peter,2017,5,2.7,3.77,5.15,7.17,0,0,0,0,0
2017 - Russell Emma,Russell Emma,2017,1,2.02,0,0,0,0,0,0,0,0
2017 - Russell James,Russell James,2017,2,1.85,2.25,0,0,0,0,0,0,0
2017 - Russell Peter & Zilkins Daniils,Russell Peter & Zilkins Daniils,2017,2,0,0,4.6,0,0,23.45,0,0,0
2017 - Saunders Harry,Saunders Harry,2017,1,2.02,0,0,0,0,0,0,0,0
2017 - Sawbreck Jane,Sawbreck Jane,2017,1,2.23,0,0,0,0,0,0,0,0
2017 - Scammell William,Scammell William,2017,2,1.92,2.5,0,0,0,0,0,0,0
2017 - Searle Jon,Searle Jon,2017,1,2.77,0,0,0,0,0,0,0,0
2017 - Senk Stefan,Senk Stefan,2017,2,0,2.72,3.55,0,0,0,0,0,0
2017 - Shackleton John & Wilson Colin,Shackleton John & Wilson Colin,2017,1,0,0,0,0,27.32,0,0,0,0
2017 - Sharp Chris,Sharp Chris,2017,2,0,3.8,0,7.15,0,0,0,0,0
2017 - Sharpe Tom,Sharpe Tom,2017,2,1.78,2.3,0,0,0,0,0,0,0
2017 - Shaul Noam,Shaul Noam,2017,1,0,0,0,0,0,0,0,0,23.58
2017 - Shaw James & Williams Toby,Shaw James & Williams Toby,2017,1,0,0,0,0,25.73,0,0,0,0
2017 - Simon Ian,Simon Ian,2017,1,0,0,0,0,0,0,0,0,25.37
2017 - Sirrell Andrew,Sirrell Andrew,2017,1,1.88,0,0,0,0,0,0,0,0
2017 - Smee Tim & Snell Ben,Smee Tim & Snell Ben,2017,1,0,0,0,0,23.48,0,0,0,0
2017 - Smith Alistair,Smith Alistair,2017,1,0,0,0,0,0,0,0,0,25.4
2017 - Smith Charles,Smith Charles,2017,1,1.87,0,0,0,0,0,0,0,0
2017 - Smith Chris & Stafford Tom,Smith Chris & Stafford Tom,2017,6,2.12,2.92,3.65,5.78,21.6,0,0,0,0
2017 - Smith Ian,Smith Ian,2017,1,0,0,0,0,0,0,0,0,18.53
2017 - Smith Jacob & Snell Matt,Smith Jacob & Snell Matt,2017,4,0,3.03,4.02,5.98,0,19.2,0,0,0
2017 - Smith Ryan,Smith Ryan,2017,1,0,0,3.58,0,0,0,0,0,0
2017 - Smith Tony & Woolacott Adrian,Smith Tony & Woolacott Adrian,2017,5,2.58,3.4,4.33,6.95,0,0,0,0,0
2017 - Smith Venetia & Watling Ariana,Smith Venetia & Watling Ariana,2017,6,3.03,3.78,4.4,7.23,0,24.05,0,0,0
2017 - Smythe James,Smythe James,2017,1,1.97,0,0,0,0,0,0,0,0
2017 - Speller Ethan,Speller Ethan,2017,1,2.83,0,0,0,0,0,0,0,0
2017 - Spencer Joe,Spencer Joe,2017,6,1.98,2.6,3.43,5.48,0,0,0,0,18.65
2017 - Spicer Anthony,Spicer Anthony,2017,5,2.57,3.55,4.42,6.88,0,0,0,0,0
2017 - Spinks Alexander & Williams Edward,Spinks Alexander & Williams Edward,2017,1,0,0,0,0,27.65,0,0,0,0
2017 - Stead Ian & Vettese Dean,Stead Ian & Vettese Dean,2017,3,0,3.28,0,6.3,25.57,0,0,0,0
2017 - Stead Ian & Vickers Liam,Stead Ian & Vickers Liam,2017,1,2.67,0,0,0,0,0,0,0,0
2017 - Stishova Anna,Stishova Anna,2017,3,3.58,0,6.03,9.75,0,0,0,0,0
2017 - Swarbreck Jane & Wallace-Loizou Maia,Swarbreck Jane & Wallace-Loizou Maia,2017,1,0,2.68,0,0,0,0,0,0,0
2017 - Sykes Ben & Walters David,Sykes Ben & Walters David,2017,1,0,0,0,0,32.05,0,0,0,0
2017 - Sykes Ben & Williams Scott,Sykes Ben & Williams Scott,2017,1,0,4.73,0,0,0,0,0,0,0
2017 - Taylor Giles,Taylor Giles,2017,1,0,0,0,0,0,0,0,0,29.37
2017 - Taylor Mark,Taylor Mark,2017,1,2.82,0,0,0,0,0,0,0,0
2017 - Tayor Dan & Whitwam John,Tayor Dan & Whitwam John,2017,1,0,0,0,0,0,0,28.8,0,0
2017 - Terry Dean,Terry Dean,2017,5,2.07,2.8,3.57,5.7,0,0,0,0,0
2017 - Thompson Aaron,Thompson Aaron,2017,3,0,0,4.28,6.97,0,0,0,0,21.17
2017 - Thompson Paul,Thompson Paul,2017,4,2.37,0,4.12,6.27,0,0,0,0,20.87
2017 - Thorogood Glenn,Thorogood Glenn,2017,1,2.05,0,0,0,0,0,0,0,0
2017 - Thorogood Philip,Thorogood Philip,2017,6,1.92,2.53,3.28,5.25,0,0,0,0,16.87
2017 - Thraves Eleanor & Wilkinson Emma,Thraves Eleanor & Wilkinson Emma,2017,3,2.37,3.07,4.1,0,0,0,0,0,0
2017 - Tosch Sven,Tosch Sven,2017,1,0,0,0,0,0,0,0,0,19.25
2017 - Townend Ashley,Townend Ashley,2017,2,2.2,2.88,0,0,0,0,0,0,0
2017 - Treadgold James,Treadgold James,2017,5,1.95,2.6,3.4,5.47,0,0,0,0,0
2017 - Trocha Eric,Trocha Eric,2017,1,0,0,0,0,0,0,0,0,16.63
2017 - Urquhart George,Urquhart George,2017,1,2.17,0,0,0,0,0,0,0,0
2017 - Valle Lucia,Valle Lucia,2017,1,0,2.85,0,0,0,0,0,0,0
2017 - Van Den Elsen Alexandra & Van Ginkel Koen,Van Den Elsen Alexandra & Van Ginkel Koen,2017,2,0,0,0,5.85,22.88,0,0,0,0
2017 - Vater Amber,Vater Amber,2017,6,2.6,3.47,4.32,6.78,0,0,0,0,23.13
2017 - Vaughan Peter & Wehfrennig Christian,Vaughan Peter & Wehfrennig Christian,2017,6,2.27,2.97,3.78,5.9,22.87,0,0,0,0
2017 - Walker Catherine,Walker Catherine,2017,6,2.45,3.23,4.35,6.4,0,0,0,0,21.37
2017 - Walker Katy,Walker Katy,2017,1,2.77,0,0,0,0,0,0,0,0
2017 - Walker Peter,Walker Peter,2017,1,2.38,0,0,0,0,0,0,0,0
2017 - Walker Peter & Wigglesworth Mark,Walker Peter & Wigglesworth Mark,2017,3,0,2.88,3.87,6.03,0,0,0,0,0
2017 - Walton-Knight Alice & Walton-Knight Bobby,Walton-Knight Alice & Walton-Knight Bobby,2017,3,2.52,0,0,6.78,0,0,0,21.65,0
2017 - Waszkiewicz Sharon,Waszkiewicz Sharon,2017,1,3.25,0,0,0,0,0,0,0,0
2017 - Wesley Bethan,Wesley Bethan,2017,2,2.58,3.35,0,0,0,0,0,0,0
2017 - Westerby Allen,Westerby Allen,2017,1,0,0,0,0,0,0,0,0,29.37
2017 - Westerby Allen & Wynn Sue,Westerby Allen & Wynn Sue,2017,1,0,3.87,0,0,0,0,0,0,0
2017 - Whipp Chris,Whipp Chris,2017,1,0,0,0,0,0,0,0,0,24.85
2017 - Whitby David,Whitby David,2017,1,3.33,0,0,0,0,0,0,0,0
2017 - White Adam & White Lyndon,White Adam & White Lyndon,2017,3,2.68,0,4.63,0,0,0,23.72,0,0
2017 - White Lyndon,White Lyndon,2017,1,0,0,0,7.75,0,0,0,0,0
2017 - Wilcock Barry,Wilcock Barry,2017,6,2.43,3.17,4.27,6.57,0,0,0,0,0
2017 - Wilkes Mark & Wilson Katherine,Wilkes Mark & Wilson Katherine,2017,1,0,0,2.97,0,0,0,0,0,0
2017 - Wilkins Patrick,Wilkins Patrick,2017,1,0,0,5.57,0,0,0,0,0,0
2017 - Wilkins Sharon,Wilkins Sharon,2017,5,2.67,3.53,4.57,6.93,0,0,0,0,0
2017 - Wilks Charlotte & Wilks Matthew,Wilks Charlotte & Wilks Matthew,2017,2,2.65,0,0,0,0,0,0,22.92,0
2017 - Williams Nicole,Williams Nicole,2017,1,2.15,0,0,0,0,0,0,0,0
2017 - Williams Scott,Williams Scott,2017,1,3.17,0,0,0,0,0,0,0,0
2017 - Wilson Gareth,Wilson Gareth,2017,5,2.32,3.02,3.88,6.4,0,0,0,0,0
2017 - Witteveen Jouke,Witteveen Jouke,2017,1,0,0,3.45,0,0,0,0,0,0
2017 - Wood Graham,Wood Graham,2017,1,0,3.57,0,0,0,0,0,0,0
2017 - Zielski Radek,Zielski Radek,2017,1,0,0,0,5.25,0,0,0,0,0
2017 - Zielski Radoslaw,Zielski Radoslaw,2017,1,0,0,0,0,0,0,0,0,16.33
2017 - Ziober Norbert,Ziober Norbert,2017,1,0,0,0,0,0,0,0,0,26.15
2018 - Abbott Octavia,Abbott Octavia,2018,2,2.48,3.03,0,0,0,0,0,0,0
2018 - Abraham Alex & Hubner Jacob,Abraham Alex & Hubner Jacob,2018,1,0,2.62,0,0,0,0,0,0,0
2018 - Abrams Ian & Bullock Gordon,Abrams Ian & Bullock Gordon,2018,1,2.45,0,0,0,0,0,0,0,0
2018 - Allen Mike & Cooper Paul,Allen Mike & Cooper Paul,2018,2,2.33,3.02,0,0,0,0,0,0,0
2018 - Allen Will & Colgate Ben,Allen Will & Colgate Ben,2018,1,2.75,0,0,0,0,0,0,0,0
2018 - Ames Robert,Ames Robert,2018,2,2.93,3.37,0,0,0,0,0,0,0
2018 - Andersen Casper & Forrest Sasha,Andersen Casper & Forrest Sasha,2018,1,2.68,0,0,0,0,0,0,0,0
2018 - Ashford Dominic & Ford Peter,Ashford Dominic & Ford Peter,2018,2,2.13,2.6,0,0,0,0,0,0,0
2018 - Avery Lauren & Williams Nicole,Avery Lauren & Williams Nicole,2018,1,0,2.8,0,0,0,0,0,0,0
2018 - Avery Robin & Legend Jerry. Haycock,Avery Robin & Legend Jerry. Haycock,2018,1,2.2,0,0,0,0,0,0,0,0
2018 - Ayres Elizabeth & Thraves Eleanor,Ayres Elizabeth & Thraves Eleanor,2018,1,2.58,0,0,0,0,0,0,0,0
2018 - Ayres Phoebe & Ayres Robin,Ayres Phoebe & Ayres Robin,2018,1,2.15,0,0,0,0,0,0,0,0
2018 - Baggs Adam & Campbell Robert H,Baggs Adam & Campbell Robert H,2018,1,2.78,0,0,0,0,0,0,0,0
2018 - Baker Louis & Janes George,Baker Louis & Janes George,2018,1,2.53,0,0,0,0,0,0,0,0
2018 - Baker Paul,Baker Paul,2018,2,2.17,2.6,0,0,0,0,0,0,0
2018 - Baker Steve,Baker Steve,2018,1,1.9,0,0,0,0,0,0,0,0
2018 - Ball Mark & Bush Steven,Ball Mark & Bush Steven,2018,2,1.93,2.37,0,0,0,0,0,0,0
2018 - Balla Almir & Hogan Mark,Balla Almir & Hogan Mark,2018,2,2.1,2.6,0,0,0,0,0,0,0
2018 - Ballantine Richard & Barber Piers,Ballantine Richard & Barber Piers,2018,2,2.68,3.02,0,0,0,0,0,0,0
2018 - Bamforth James,Bamforth James,2018,1,0,3.78,0,0,0,0,0,0,0
2018 - Banks Duncan & Gardiner Andrew,Banks Duncan & Gardiner Andrew,2018,2,2.3,2.83,0,0,0,0,0,0,0
2018 - Banson Caroline & Hicks Julie,Banson Caroline & Hicks Julie,2018,2,2.45,2.97,0,0,0,0,0,0,0
2018 - Barker Amy,Barker Amy,2018,1,2.63,0,0,0,0,0,0,0,0
2018 - Barker Owen & Fitzgerald Thomas,Barker Owen & Fitzgerald Thomas,2018,2,2.37,2.92,0,0,0,0,0,0,0
2018 - Barnard Pippa & Barnard Tom,Barnard Pippa & Barnard Tom,2018,2,2.62,3.15,0,0,0,0,0,0,0
2018 - Barnett Adam & Wright William,Barnett Adam & Wright William,2018,1,0,3.17,0,0,0,0,0,0,0
2018 - Barnicoat George & Hollis Nick,Barnicoat George & Hollis Nick,2018,1,0,2.8,0,0,0,0,0,0,0
2018 - Barriball Tom & Bluett Leuan,Barriball Tom & Bluett Leuan,2018,2,2.52,2.95,0,0,0,0,0,0,0
2018 - Bate Philippa & Haydon Millie,Bate Philippa & Haydon Millie,2018,2,3.15,3.68,0,0,0,0,0,0,0
2018 - Bates Jo,Bates Jo,2018,1,2.58,0,0,0,0,0,0,0,0
2018 - Bath Ollie & Redwood Myles,Bath Ollie & Redwood Myles,2018,2,2.5,3.07,0,0,0,0,0,0,0
2018 - Bauer Pascal & Killey Kieron,Bauer Pascal & Killey Kieron,2018,1,1.93,0,0,0,0,0,0,0,0
2018 - Beatty Ella,Beatty Ella,2018,2,2.55,3.03,0,0,0,0,0,0,0
2018 - Beaver Tim E & Playle William,Beaver Tim E & Playle William,2018,2,2.22,2.72,0,0,0,0,0,0,0
2018 - Beazley Daniel,Beazley Daniel,2018,2,1.87,2.38,0,0,0,0,0,0,0
2018 - Beer Rob,Beer Rob,2018,2,2.1,2.53,0,0,0,0,0,0,0
2018 - Bilsberry-Green Tildy & Rushin Pea,Bilsberry-Green Tildy & Rushin Pea,2018,1,2.78,0,0,0,0,0,0,0,0
2018 - Birchell Katie & Bowles George,Birchell Katie & Bowles George,2018,1,3.02,0,0,0,0,0,0,0,0
2018 - Blackburn Kieron & Hayes Des,Blackburn Kieron & Hayes Des,2018,2,2.47,3.05,0,0,0,0,0,0,0
2018 - Blacker Chris & Cook Oliver,Blacker Chris & Cook Oliver,2018,2,2.53,3.05,0,0,0,0,0,0,0
2018 - Blatchly A Mark & Mayfield Archie,Blatchly A Mark & Mayfield Archie,2018,1,2.43,0,0,0,0,0,0,0,0
2018 - Blow Andy & Tye Jonathan,Blow Andy & Tye Jonathan,2018,1,2,0,0,0,0,0,0,0,0
2018 - Bonsey Hugo & Pite Harry,Bonsey Hugo & Pite Harry,2018,1,2.62,0,0,0,0,0,0,0,0
2018 - Boonham Chris & Boonham Georgia,Boonham Chris & Boonham Georgia,2018,1,2.98,0,0,0,0,0,0,0,0
2018 - Booth Toby & Roghi Alis,Booth Toby & Roghi Alis,2018,1,2.38,0,0,0,0,0,0,0,0
2018 - Bostock Daniel & Hannington James,Bostock Daniel & Hannington James,2018,1,3.7,0,0,0,0,0,0,0,0
2018 - Bowland Victoria & Winter Francesca,Bowland Victoria & Winter Francesca,2018,2,2.78,3.57,0,0,0,0,0,0,0
2018 - Bowlands Stuart,Bowlands Stuart,2018,1,2.82,0,0,0,0,0,0,0,0
2018 - Bradley Alexander & Bradley David,Bradley Alexander & Bradley David,2018,1,0,3.58,0,0,0,0,0,0,0
2018 - Bray Alice & Tilbury-Clarke Simon,Bray Alice & Tilbury-Clarke Simon,2018,2,2.1,2.58,0,0,0,0,0,0,0
2018 - Brear Paul & Clarkson Alice,Brear Paul & Clarkson Alice,2018,2,2.12,2.9,0,0,0,0,0,0,0
2018 - Bromovsky Hester & Jeveons Maya,Bromovsky Hester & Jeveons Maya,2018,1,2.68,0,0,0,0,0,0,0,0
2018 - Brook Imogen & Dixon Peta,Brook Imogen & Dixon Peta,2018,1,2.95,0,0,0,0,0,0,0,0
2018 - Brookes Katie,Brookes Katie,2018,1,2.9,0,0,0,0,0,0,0,0
2018 - Brown Leanne & Jordan Aaron,Brown Leanne & Jordan Aaron,2018,1,2.05,0,0,0,0,0,0,0,0
2018 - Bruce William & Guy Freddie,Bruce William & Guy Freddie,2018,1,2.57,0,0,0,0,0,0,0,0
2018 - Bullock Gordon & Panrucker Mike,Bullock Gordon & Panrucker Mike,2018,1,0,3.07,0,0,0,0,0,0,0
2018 - Burness Paul & Davis Jason,Burness Paul & Davis Jason,2018,1,2.47,0,0,0,0,0,0,0,0
2018 - Butler Brian,Butler Brian,2018,1,0,3.28,0,0,0,0,0,0,0
2018 - Butler Fay & Walker Caroline,Butler Fay & Walker Caroline,2018,1,0,3.08,0,0,0,0,0,0,0
2018 - Butt Adrian & Holmes Guy,Butt Adrian & Holmes Guy,2018,1,2.18,0,0,0,0,0,0,0,0
2018 - Button David,Button David,2018,1,0,2.93,0,0,0,0,0,0,0
2018 - Cabera Benjamin & Edyvean John,Cabera Benjamin & Edyvean John,2018,2,2.1,2.63,0,0,0,0,0,0,0
2018 - Callow Mathew & Hayward Kieran,Callow Mathew & Hayward Kieran,2018,1,1.92,0,0,0,0,0,0,0,0
2018 - Camekova Diana & Spicer Anthony,Camekova Diana & Spicer Anthony,2018,1,0,3.22,0,0,0,0,0,0,0
2018 - Carvell Nick & James Dan,Carvell Nick & James Dan,2018,1,2.2,0,0,0,0,0,0,0,0
2018 - Chadwick Nell & Drake James,Chadwick Nell & Drake James,2018,1,3.77,0,0,0,0,0,0,0,0
2018 - Chadwick Nell & Somers Oliver,Chadwick Nell & Somers Oliver,2018,1,0,3.87,0,0,0,0,0,0,0
2018 - Chippington Ria & Chippington Stewart,Chippington Ria & Chippington Stewart,2018,2,2.57,3.15,0,0,0,0,0,0,0
2018 - Chivers Nigel & Crabb Kevin,Chivers Nigel & Crabb Kevin,2018,2,2.35,3.05,0,0,0,0,0,0,0
2018 - Chmiel Alison & Jones Caroline,Chmiel Alison & Jones Caroline,2018,2,2.35,2.87,0,0,0,0,0,0,0
2018 - Clark Adrian & Whitefield Mark,Clark Adrian & Whitefield Mark,2018,2,2.58,3.13,0,0,0,0,0,0,0
2018 - Clark Henry & Tabor Piers,Clark Henry & Tabor Piers,2018,1,2.4,0,0,0,0,0,0,0,0
2018 - Clark Lenny,Clark Lenny,2018,2,2.45,2.93,0,0,0,0,0,0,0
2018 - Clark Pete & Valle Lucia,Clark Pete & Valle Lucia,2018,1,0,2.83,0,0,0,0,0,0,0
2018 - Clarke Elwyn & Hockley Pete,Clarke Elwyn & Hockley Pete,2018,1,0,3.97,0,0,0,0,0,0,0
2018 - Clarke Stu & Morgan A,Clarke Stu & Morgan A,2018,2,2.8,3.05,0,0,0,0,0,0,0
2018 - Clegg Jenny & Deegan Ellie,Clegg Jenny & Deegan Ellie,2018,1,3.03,0,0,0,0,0,0,0,0
2018 - Clifford Danielle,Clifford Danielle,2018,1,3,0,0,0,0,0,0,0,0
2018 - Clowes Robert & Justice Daryl,Clowes Robert & Justice Daryl,2018,2,2.52,2.98,0,0,0,0,0,0,0
2018 - Colby Dan & Hansford Rob,Colby Dan & Hansford Rob,2018,2,2.7,3.4,0,0,0,0,0,0,0
2018 - Collinge Matthew & Holden Bronte,Collinge Matthew & Holden Bronte,2018,1,2.02,0,0,0,0,0,0,0,0
2018 - Collins Archie & Whalley Ben,Collins Archie & Whalley Ben,2018,1,2.48,0,0,0,0,0,0,0,0
2018 - Collins Jack & Dahl Will,Collins Jack & Dahl Will,2018,1,2.37,0,0,0,0,0,0,0,0
2018 - Corr Gary & Corr Ginette,Corr Gary & Corr Ginette,2018,2,2.68,3.15,0,0,0,0,0,0,0
2018 - Cotton Stephen & Rimen Stephen,Cotton Stephen & Rimen Stephen,2018,2,2.52,3.1,0,0,0,0,0,0,0
2018 - Cranstone Zoe & Hatch Luke,Cranstone Zoe & Hatch Luke,2018,1,3.75,0,0,0,0,0,0,0,0
2018 - Crawley Ben & Irwin Caity,Crawley Ben & Irwin Caity,2018,2,2.5,3.08,0,0,0,0,0,0,0
2018 - Creamer Charlotte & Townsend Ashley,Creamer Charlotte & Townsend Ashley,2018,1,2.32,0,0,0,0,0,0,0,0
2018 - Critchfield Harry & Phillips Michael,Critchfield Harry & Phillips Michael,2018,1,0,3.3,0,0,0,0,0,0,0
2018 - Critfield Harry,Critfield Harry,2018,1,3.08,0,0,0,0,0,0,0,0
2018 - Crossley Joanna,Crossley Joanna,2018,1,0,3.15,0,0,0,0,0,0,0
2018 - Cummings Seamus & Flack Robin,Cummings Seamus & Flack Robin,2018,1,0,2.77,0,0,0,0,0,0,0
2018 - Davey Hannah & Sampson Hannah,Davey Hannah & Sampson Hannah,2018,2,2.93,3.77,0,0,0,0,0,0,0
2018 - Davies Marcus & Rodber Zac,Davies Marcus & Rodber Zac,2018,1,2.58,0,0,0,0,0,0,0,0
2018 - Day Will & Hunt Nathan,Day Will & Hunt Nathan,2018,1,2.57,0,0,0,0,0,0,0,0
2018 - Denby Tom & Rogers Jerry,Denby Tom & Rogers Jerry,2018,1,3.03,0,0,0,0,0,0,0,0
2018 - Denton Fiona & Denton Josh,Denton Fiona & Denton Josh,2018,2,2.37,3,0,0,0,0,0,0,0
2018 - Derham Simon & Kelly Peter,Derham Simon & Kelly Peter,2018,1,2.1,0,0,0,0,0,0,0,0
2018 - Desborough Emma & Jefferson Graham,Desborough Emma & Jefferson Graham,2018,1,0,3.2,0,0,0,0,0,0,0
2018 - Desborough Emma & Ryan Enda,Desborough Emma & Ryan Enda,2018,1,2.62,0,0,0,0,0,0,0,0
2018 - Dijck Johannes. Van,Dijck Johannes. Van,2018,1,0,4.53,0,0,0,0,0,0,0
2018 - Dobbs Chloe,Dobbs Chloe,2018,1,3.05,0,0,0,0,0,0,0,0
2018 - Dobson Edward & Rees-Clark Michael,Dobson Edward & Rees-Clark Michael,2018,1,1.92,0,0,0,0,0,0,0,0
2018 - Dowden Timothy & How James,Dowden Timothy & How James,2018,1,1.95,0,0,0,0,0,0,0,0
2018 - Drake James & Sturgeon Ben,Drake James & Sturgeon Ben,2018,1,0,3.85,0,0,0,0,0,0,0
2018 - Dryer Lorne & Hunt Nathan,Dryer Lorne & Hunt Nathan,2018,1,0,3.88,0,0,0,0,0,0,0
2018 - Dummett Molly & Dummett Tim,Dummett Molly & Dummett Tim,2018,2,2.6,3.1,0,0,0,0,0,0,0
2018 - Duncan Hamish & Ward Amy L,Duncan Hamish & Ward Amy L,2018,2,2.32,2.87,0,0,0,0,0,0,0
2018 - Ede Molly & Murad Joshua,Ede Molly & Murad Joshua,2018,1,2.33,0,0,0,0,0,0,0,0
2018 - Edgar Neil,Edgar Neil,2018,2,2.85,3.4,0,0,0,0,0,0,0
