Year,Flow,Start Time,Crew,Distance,Clock,T,Time,CheckPoint,Speed,SplitTimePoint,SplitSpeed,Section,SpeedIncrease
1975,205,Night Run,GreenhamPerrett205,29,04:45:00,4.75,4.75,Kintbury,6.11,,,,
1979,187,7am,CornishGreenham187,29,04:01:00,4.02,4.02,Kintbury,7.22,,,,
1980,158,7.17am,CornishGreenham158,29,04:01:00,4.02,4.02,Kintbury,7.22,,,,
1994,155,7.08am,PhillipsLewis155,29,00:00:00,0,,Kintbury,,,,,
1989,99.1,,WellsWells99.1,29,03:51:00,3.85,3.85,Kintbury,7.53,,,,
1978,90.5,Night Run,CornishGreenham90.5,29,04:07:00,4.12,4.12,Kintbury,7.04,,,,
1977,80,15:40,GreenawayFowler80,29,00:00:00,0,,Kintbury,,,,,
1981,70.2,14:22:08,GreenhamBelcher70.2,29,04:12:00,4.2,4.2,Kintbury,6.9,,,,
1984,28.1,7am,CornishViljoen28.1,29,04:06:00,4.1,4.1,Kintbury,7.07,,,,
2011,23,Sun 07:19:00,LawlerBrown23,29,00:00:00,0,,Kintbury,,,,,
2011,23,Sat 18:04:50,KingHendron23,29,00:00:00,0,,Kintbury,,,,,
2017,20,15:14:57,KingButler20,29,00:00:00,0,,Kintbury,,,,,
2000,229,05:51,BakerCapps229,31,04:23:00,4.38,4.38,Hamstead,7.07,,,,
1975,205,Night Run,GreenhamPerrett205,31,05:09:00,5.15,5.15,Hamstead,6.02,,,,
1979,187,7am,CornishGreenham187,31,04:20:00,4.33,4.33,Hamstead,7.15,,,,
1980,158,7.17am,CornishGreenham158,31,04:20:00,4.33,4.33,Hamstead,7.15,,,,
1994,155,7.08am,PhillipsLewis155,31,00:00:00,0,,Hamstead,,,,,
1989,99.1,,WellsWells99.1,31,00:00:00,0,,Hamstead,,,,,
1978,90.5,Night Run,CornishGreenham90.5,31,04:27:00,4.45,4.45,Hamstead,6.97,,,,
1977,80,15:40,GreenawayFowler80,31,00:00:00,0,,Hamstead,,,,,
1981,70.2,14:22:08,GreenhamBelcher70.2,31,04:32:00,4.53,4.53,Hamstead,6.84,,,,
1984,28.1,7am,CornishViljoen28.1,31,04:26:00,4.43,4.43,Hamstead,6.99,,,,
2011,23,Sun 07:19:00,LawlerBrown23,31,00:00:00,0,,Hamstead,,,,,
2011,23,Sat 18:04:50,KingHendron23,31,00:00:00,0,,Hamstead,,,,,
2017,20,15:14:57,KingButler20,31,00:00:00,0,,Hamstead,,,,,
2000,229,05:51,BakerCapps229,34,04:47:00,4.78,4.78,Newbury,7.11,,,,
1975,205,Night Run,GreenhamPerrett205,34,05:40:00,5.67,5.67,Newbury,6,,,,
1979,187,7am,CornishGreenham187,34,04:47:00,4.78,4.78,Newbury,7.11,,,,
1980,158,7.17am,CornishGreenham158,34,04:46:00,4.77,4.77,Newbury,7.13,,,,
1994,155,7.08am,PhillipsLewis155,34,04:53:00,4.88,4.88,Newbury,6.96,,,,
1989,99.1,,WellsWells99.1,34,04:36:00,4.6,4.6,Newbury,7.39,,,,
1978,90.5,Night Run,CornishGreenham90.5,34,04:55:00,4.92,4.92,Newbury,6.92,,,,
1977,80,15:40,GreenawayFowler80,34,04:55:00,4.92,4.92,Newbury,6.92,,,,
1981,70.2,14:22:08,GreenhamBelcher70.2,34,05:01:00,5.02,5.02,Newbury,6.78,,,,
1984,28.1,7am,CornishViljoen28.1,34,04:55:00,4.92,4.92,Newbury,6.92,,,,
2011,23,Sun 07:19:00,LawlerBrown23,34,04:23:00,4.38,4.38,Newbury,7.76,,,,
2011,23,Sat 18:04:50,KingHendron23,34,05:03:30,5.06,5.06,Newbury,6.72,,,,
2017,20,15:14:57,KingButler20,34,04:43:34,4.73,4.73,Newbury,7.19,,,,
2000,229,05:51,BakerCapps229,41,05:44:00,5.73,5.73,Woolhapton,7.15,,,,
1975,205,Night Run,GreenhamPerrett205,41,06:44:00,6.73,6.73,Woolhapton,6.09,,,,
1979,187,7am,CornishGreenham187,41,05:44:00,5.73,5.73,Woolhapton,7.15,,,,
1980,158,7.17am,CornishGreenham158,41,05:43:00,5.72,5.72,Woolhapton,7.17,,,,
1994,155,7.08am,PhillipsLewis155,41,00:00:00,0,,Woolhapton,,,,,
1989,99.1,,WellsWells99.1,41,00:00:00,0,,Woolhapton,,,,,
1978,90.5,Night Run,CornishGreenham90.5,41,05:50:00,5.83,5.83,Woolhapton,7.03,,,,
1977,80,15:40,GreenawayFowler80,41,00:00:00,0,,Woolhapton,,,,,
